unIndex,nStep,nOpStep,nCityId,strType,strToggleEvt,strToggleCond,strContent,strOpText,strGetContent,strGetItemArr,strNpcImg,nPosX,nPosY,nArrowType,strRenderTag
24,6,3,6,op,city_dungeon_pk_0_3,pos_dungeon_1,,,,,,0,0,0,
25,7,1,6,npc_dlg,,,$player_name，刚才那次战斗有些艰苦！\n强化装备，提升战斗力，一定能轻松打败它！,哦，是嘛？那我试试。,,,image_npc16,0,0,0,
26,7,2,6,op,,,点这里，强化你的武器。,,,,,124,95,0,CDlgShell:Panel:pnlBtn
27,7,3,6,op,index_strength_index,dlg_CDlgEquipStrengthen,点这里，开始强化。,,,,,572,362,3,CDlgEquipStrengthen
28,7,4,6,op,index_strength_strength,dlg_CDlgEquipStrengthen,点这里，关闭界面。,,,,,600,80,1,CDlgEquipStrengthen
29,7,5,6,op,help_strength-panel,,,,,,,0,0,0,
30,8,1,6,npc_dlg,,,"好的武器,要搭配好的技能，才能发挥更厉害的威力。",呀，什么技能？我要用！,,,image_npc16,0,0,0,
31,8,2,6,npc_dlg,,,后面的怪会越来越厉害，使用你的“战斗技能”，就能更容易打败他们。,好的，我试试。,,,image_npc16,0,0,0,
32,8,3,6,op,,,点这里，选择出战技能。,,,,,13,95,0,CDlgShell:Panel:pnlBtn
33,8,4,6,op,index_member_index,,勾选后，该技能战斗时有概率释放。,,,,,472,158,1,CDlgPlayerInfo
34,8,5,6,op,index_member_toggle_skill,dlg_CDlgPlayerInfo,点这里，关闭界面。,,,,,600,80,1,CDlgPlayerInfo
35,8,6,6,npc_dlg,help_member-panel,,勾选这些技能后，战斗时有概率会释放出来哦。\n你每提升一定等级，就会掌握更厉害的技能。,哇，我喜欢技能！我要经常选用。,,,image_npc16,0,0,0,
36,9,1,6,npc_dlg,,,想提升技能威力，你必须经常去升级你的技能。,恩，升级技能，效果大增！,,,image_npc16,0,0,0,
37,9,2,6,op,,,点这里，去升级你的“技能”。,,,,,235,95,0,CDlgShell:Panel:pnlBtn
38,9,3,6,op,index_skill_index,dlg_CDlgSkill,点这里，开始升级。,,,,,494,415,3,CDlgSkill
39,9,4,6,op,index_skill_upgrade,dlg_CDlgSkill,点这里，关闭界面。,,,,,600,80,1,CDlgSkill
40,9,5,6,op,help_skill-panel,,,,,,,0,0,0,
41,10,1,6,op,city_dungeon_index,pos_dungeon_1,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
42,10,2,6,op,city_dungeon_get_log,pos_dungeon_2,点这里，攻击这个怪。,,,,,370,271,2,CGameMapMgr
43,10,3,6,op,city_dungeon_pk_1_1,pos_dungeon_2,,,,,,0,0,0,CGameMapMgr
44,11,1,6,op,,pos_dungeon_2,点这里，攻击这个怪。,,,,,354,258,3,CGameMapMgr
45,11,2,6,op,city_dungeon_pk_1_2,pos_dungeon_2,,,,,,0,0,0,
46,12,1,6,npc_dlg,,,马上进入最后关头，打架伤不起！\n再强化一下装备吧！,也好，我要更强力！,,,image_npc16,0,0,0,
47,12,2,6,op,,,点这里，再次强化你的武器。,,,,,124,95,0,CDlgShell:Panel:pnlBtn
48,12,3,6,op,index_strength_index,dlg_CDlgEquipStrengthen,点这里，开始强化。,,,,,572,362,3,CDlgEquipStrengthen
49,12,4,6,op,index_strength_strength,dlg_CDlgEquipStrengthen,点这里，关闭界面。,,,,,600,80,1,CDlgEquipStrengthen
50,12,5,6,op,help_strength-panel,,,,,,image_npc16,0,0,0,
51,13,1,6,op,,pos_dungeon_2,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
52,13,2,6,op,city_dungeon_get_log,pos_dungeon_3,点这里，攻击这个怪。,,,,,326,289,2,CGameMapMgr
53,13,3,6,op,city_dungeon_pk_2_1,pos_dungeon_3,,,,,,0,0,0,
54,14,1,6,op,,pos_dungeon_3,点这里，攻击这个怪。,,,,,247,94,3,CGameMapMgr
55,14,2,6,op,city_dungeon_pk_2_2,pos_dungeon_3,,,,,,0,0,0,
56,15,1,6,npc_dlg,,,最后BOSS！剽悍的村长老婆，不解释！\n她唯一弱点是脸皮薄，靠对骂才能解决。,哦？真有意思，我是混混，最能打嘴仗了！,,,image_npc16,0,0,0,
57,15,2,6,op,,pos_dungeon_3,点这里，开始骂她。,,,,,386,287,3,CGameMapMgr
58,15,3,6,op,city_dungeon_team_2_3,dungeon_team_3_3,点这里，开始骂她。,,,,,100,419,2,CDlgDungeonTeam
59,15,4,6,npc_dlg,city_dungeon_pk_2_3,pos_dungeon_3,你打怪的姿态那么优美， 让我的女儿小翠极为仰慕。\n她愿意在你10级时加入你的队伍，伴你浪迹天涯。,我其实早看上她了。,,,image_npc6,0,0,0,
60,15,5,6,op,,pos_dungeon_3,点这里，打开地图去广州。,,,,,-277,66,1,CDlgShell:Button:btnMap
61,15,6,6,op,go2map,pos_mapMain_0,点这里，进入广州。,,,,,333,348,2,CGameMapMgr
62,15,7,6,op,go2city8,,,,,,,0,0,0,
63,16,1,8,npc_dlg,go2cityin,,天啊！原来你是皇二代！有前途呀！\n我奶奶说：“30岁之前跟对人”，我跟定你了！,如果出身高贵是个错误，我愿一错到底。,,,image_npc16,0,0,0,
64,16,2,8,npc_dlg,,,但如何证明你是真命天子？\n奶奶说：“现在的骗子不地道，除了骗财，还骗色”。,义父让我去福州，神秘人会给我“皇族腰带”。,,,image_npc16,0,0,0,
65,16,3,8,npc_dlg,,,嗯，有皇族腰带，就能证明你真的是皇族后裔了。\n可去福州还很远，不如我们先逛逛广州吧？,好，我想逛广州，涨见识。,,,image_npc16,0,0,0,
66,17,1,8,npc_dlg,,,广州比咱村里热闹多了。\n为了去福州，咱需要打点零工多赚“金币”。,赚钱靠自己，不能啃父母，我懂！,,,image_npc16,0,0,0,
67,17,2,8,op,,pos_cityIn_8,点这里，去找份工作。,,,,,343,135,3,CGameMapMgr
68,17,3,8,op,city_job_index,LaberMaket,点这里，开始工作。,,,,,431,438,3,CDlgLaberMaket
69,17,4,8,op,city_job_start,LaberMaket,点这里，关闭界面。,,,,,600,80,1,CDlgLaberMaket
70,17,5,8,op,help_job-panel,,,,,,,0,0,0,
71,18,1,8,npc_dlg,,,广州是个大城市，花花世界。\n如果你想赚外快（金币），倒买货物就可以。,打怪闲余时，我就玩倒买。,,,image_npc16,0,0,0,
72,18,2,8,op,,pos_cityIn_8,点这里，里面可以搞倒卖。,,,,,393,144,2,CGameMapMgr
73,18,3,8,npc_dlg,city_daomai_index,dlg_CDlgSaleGoods,倒卖物价以美刀（$）来计，每10分钟变一次，特刺激！\n低买高卖，快速致富，美刀可兑换成金币哦！,我要钱！快来钱！爱死倒卖了！,,,image_npc16,0,0,0,CDlgSaleGoods
74,18,4,8,op,,,点这里，关闭界面。,,,,,600,80,1,CDlgSaleGoods
75,18,5,8,op,help_BusinessIndex,,,,,,,0,0,0,
76,19,1,8,npc_dlg,,,城内逛得差不多了。\n我们去城外看看还有什么好玩的？,听说广州城外可以采到宝贝。,,,image_npc16,0,0,0,
77,19,2,8,op,,pos_cityIn_8,点这里，从这去城外。,,,,,457,142,0,CGameMapMgr
78,19,3,8,op,go2out,pos_cityOut_8,点这里，进入采集点。,,,,,441,113,3,CGameMapMgr
79,19,4,8,op,go2gather,pos_gather_0,点这里，采集宝石。,,,,,321,120,3,CDlgGather
80,19,5,8,npc_dlg,city_gather_start,pos_gather_0,采到的东西要好好保存。\n水晶可以在福州合装备，特产可以招伙伴。,好，我喜欢高品质装备。,,,image_npc16,0,0,0,
81,19,6,8,npc_dlg,,,这些采集到的物品都在你的“背包”里。,恩，以后有空就来采集。,,,image_npc16,0,0,0,
82,19,7,8,op,,pos_gather_0,,,,,,0,0,0,
83,20,1,8,op,,pos_gather_0,点这里，回到城外。,,,,,591,447,3,CDlgGather
84,20,2,8,npc_dlg,go2out,pos_cityOut_8,好了，广州城已经逛完了。\n我们现在出发去福州吧。,好，咱们走！,,,image_npc16,0,0,0,
85,20,3,8,op,,pos_cityOut_8,进入过关通道，打通才能去福州。,,,,,217,130,2,CGameMapMgr
86,20,4,8,op,go2dungeon,pos_dungeon_4,点这里，攻击这个怪。,,,,,363,264,2,CGameMapMgr
87,20,5,8,op,city_dungeon_pk_0_1,,,,,,,0,0,0,
88,21,1,8,npc_dlg,,,太好了，你完成了一个任务，可以去领奖励。\n一路上打怪交任务可以得很多奖励，轻松去福州。,我要做任务，我要领奖励！,,,image_npc16,0,0,0,
89,21,2,8,op,,,点这里，查看已完成的任务。,,,,,163,95,1,CDlgShell:Panel:pnlBtn
90,21,3,8,op,mission_index_index,dlg_CDlgTask,点这里，领取奖励。,,,,,530,444,3,CDlgTask
91,21,4,8,npc_dlg,mission_index_get_reward,dlg_CDlgTask,后面咱们就按任务目标的指示去做，完成后领取奖励。\n这样可以很快速的升级，还能获得很多金币呢。,太棒了！这能让我快速成长起来。,,,image_npc16,0,0,0,CDlgTask
92,21,5,8,op,,,点这里，关闭界面。,,,,,600,80,1,CDlgTask
93,21,6,8,op,help_CharacterTaskIndex,,,,,,,0,0,0,
94,22,1,8,op,city_dungeon_team,pos_dungeon_4,点这里，攻击这个怪。,,,,,375,264,3,CGameMapMgr
95,22,2,8,op,city_dungeon_pk_0_2,,,,,,,0,0,0,CGameMapMgr
96,23,1,8,npc_dlg,,,哇！不知不觉你已经这么高等级了。\n现在应该掌握了几个新技能，我们去装配上吧。,哦，今后我得记住。,,,image_npc16,0,0,0,
97,23,2,8,op,,,点这里，选择出战技能。,,,,,13,95,0,CDlgShell:Panel:pnlBtn
98,23,3,8,op,index_member_index,dlg_CDlgPlayerInfo,勾选后，该技能战斗时有概率释放。,,,,,469,221,1,CDlgPlayerInfo
99,23,4,8,op,index_member_toggle_skill,dlg_CDlgPlayerInfo,点这里，关闭界面。,,,,,600,80,1,CDlgPlayerInfo
100,23,5,8,op,help_member-panel,,,,,,,0,0,0,
101,24,1,8,op,,,点这里，去升级你的技能。,,,,,235,95,0,CDlgShell:Panel:pnlBtn
102,24,2,8,op,index_skill_index,,点这里，开始升级。,,,,,494,415,3,CDlgSkill
103,24,3,8,op,index_skill_index,dlg_CDlgSkill,点这里，开始升级。,,,,,494,415,3,CDlgSkill
104,24,4,8,op,index_skill_upgrade,dlg_CDlgSkill,点这里，关闭界面。,,,,,600,80,1,CDlgSkill
105,24,5,8,op,help_skill-panel,,,,,,,0,0,0,
106,25,1,8,op,,pos_dungeon_4,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
107,25,2,8,op,city_dungeon_get_log,pos_dungeon_5,点这里，攻击这个怪。,,,,,373,263,2,CGameMapMgr
108,25,3,8,op,city_dungeon_team_1_1,dungeon_team_5_1,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
109,25,4,8,op,city_dungeon_pk_1_1,pos_dungeon_5,,,,,,0,0,0,
110,26,1,8,op,,pos_dungeon_5,点这里，攻击这个怪。,,,,,364,258,3,CGameMapMgr
111,26,2,8,op,city_dungeon_team_1_2,dungeon_team_5_2,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
112,26,3,8,op,city_dungeon_pk_1_2,pos_dungeon_5,,,,,,0,0,0,
113,27,1,8,op,,pos_dungeon_5,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
114,27,2,8,op,city_dungeon_get_log,pos_dungeon_6,点这里，攻击这个怪。,,,,,350,263,2,CGameMapMgr
115,27,3,8,op,city_dungeon_pk_2_1,pos_dungeon_6,,,,,,0,0,0,
116,28,1,8,op,,pos_dungeon_6,点这里，攻击这个怪。,,,,,363,263,3,CGameMapMgr
117,28,2,8,op,city_dungeon_team_2_2,dungeon_team_6_2,点这里，开始战斗。,,,,,0,0,0,CDlgDungeonTeam
118,28,3,8,op,city_dungeon_pk_2_2,pos_dungeon_6,,,,,,0,0,0,
119,29,1,8,op,city_dungeon_pk_2_2,pos_dungeon_6,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
120,29,2,8,op,city_dungeon_get_log,pos_dungeon_7,点这里，攻击这个怪。,,,,,379,274,2,CGameMapMgr
121,29,3,8,op,city_dungeon_team_3_1,dungeon_team_7_1,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
122,29,4,8,op,city_dungeon_pk_3_1,pos_dungeon_7,,,,,,0,0,0,
123,30,1,8,op,,pos_dungeon_7,点这里，攻击这个怪。,,,,,365,263,3,CGameMapMgr
124,30,2,8,op,city_dungeon_team_3_2,dungeon_team_7_2,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
125,30,3,8,op,city_dungeon_pk_3_2,pos_dungeon_7,,,,,,0,0,0,
126,31,1,8,op,city_dungeon_pk_3_2,pos_dungeon_7,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
127,31,2,8,op,city_dungeon_get_log,pos_dungeon_8,点这里，攻击这个怪。,,,,,365,270,2,CGameMapMgr
128,31,3,8,op,city_dungeon_team_4_1,dungeon_team_8_1,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
129,31,4,8,op,city_dungeon_pk_4_1,pos_dungeon_8,,,,,,0,0,0,
130,32,1,8,op,city_dungeon_pk_4_1,pos_dungeon_8,点这里，攻击这个怪。,,,,,361,263,3,CGameMapMgr
131,32,2,8,op,city_dungeon_team_4_2,dungeon_team_8_2,点这里，开始战斗。,,,,,0,0,2,CGameMapMgr
132,32,3,8,op,city_dungeon_pk_4_2,pos_dungeon_8,,,,,,0,0,0,
133,33,1,8,op,city_dungeon_pk_4_2,pos_dungeon_8,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
134,33,2,8,op,city_dungeon_get_log,pos_dungeon_9,点这里，攻击这个怪。,,,,,377,274,2,CGameMapMgr
135,33,3,8,op,city_dungeon_team_5_1,dungeon_team_9_1,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
136,33,4,8,op,city_dungeon_pk_5_1,pos_dungeon_9,,,,,,0,0,0,
137,34,1,8,op,,pos_dungeon_9,点这里，攻击这个怪。,,,,,374,263,3,CGameMapMgr
138,34,2,8,op,city_dungeon_team_5_2,dungeon_team_9_2,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
139,34,3,8,op,city_dungeon_pk_5_2,pos_dungeon_9,,,,,,0,0,0,
140,35,1,8,op,city_dungeon_pk_5_2,pos_dungeon_9,点这里，去下一关。,,,,,254,-48,3,CDlgFightRoad
141,35,2,8,op,city_dungeon_get_log,pos_dungeon_10,点这里，攻击这个怪。,,,,,402,274,2,CGameMapMgr
142,35,3,8,op,city_dungeon_team_6_1,dungeon_team_10_1,点这里，开始战斗。,,,,,0,0,2,
143,35,4,8,op,city_dungeon_pk_6_1,pos_dungeon_10,,,,,,0,0,0,
144,36,1,8,op,,pos_dungeon_10,点这里，攻击这个怪。,,,,,364,270,3,CGameMapMgr
145,36,2,8,op,city_dungeon_team_6_2,dungeon_team_10_2,点这里，开始战斗。,,,,,0,0,2,CDlgDungeonTeam
146,36,3,8,npc_dlg,city_dungeon_pk_6_2,,亲，你已经度过了新手期，只要稍加摸索，就能很快掌握游戏中的各种捷径。,嗯，以我的聪明才智，分分钟的事。,,,image_npc17,0,0,0,
147,36,4,8,op,,pos_dungeon_10,点这里，打开地图去福州。,,,,,-277,66,1,CDlgShell:Button:btnMap
148,36,5,8,op,go2map,,点这里，进入福州。,,,,,415,325,2,CGameMapMgr
149,36,6,8,op,go2city5,,,,,,,0,0,0,
150,37,1,5,npc_dlg,go2cityin,,果然真的皇二代！我木有压力、情绪稳定地跟你了。\n顺带说句，这个算命先生好猥琐啊，怕不是好人。,他是先父的大臣，潜伏江湖三十年，为了等我。,得到物品：</#bb51da>黄族腰带</D>,,image_npc16,0,0,0,
151,37,2,5,npc_dlg,,pos_cityIn_5,孩子，快去成都，你朱家三个亲戚在等你。\n顺带说句，这个小翠很贫嘴啊，恐怕没啥真本事。,小翠跟我十多年，打架斗嘴，样样都行。,,,image_npc7,0,0,0,
152,37,3,5,npc_dlg,,pos_cityIn_5,去成都路途长，怪物相当给力，我看你得多历练。\n再送你3颗蓝宝石作为见面礼。,谢谢伯伯，那为什么我要去成都？,得到物品：</#0166ff>三级蓝水晶</D>、</#0166ff>三级蓝玛瑙</D>、</#0166ff>三级蓝钻石</D>,,image_npc7,0,0,0,
153,37,4,5,npc_dlg,,pos_cityIn_5,老朱家的三个亲戚在成都等你。\n他们要告诉你夺取皇位的真谛。,明白了，是哪三个亲戚？,,,image_npc7,0,0,0,
154,37,5,5,npc_dlg,,pos_cityIn_5,那瞎子来算命的客人了，不理睬你了。\n我看只能去了成都才明白。,好吧，去成都就明白了。,,,image_npc16,0,0,0,
155,37,6,5,npc_dlg,,pos_cityIn_5,这福州比广州还要繁华，此去成都路途遥远，十分危险。\n我们先在福州逛逛，做些准备再出发吧。,也好，准备充分再说。,,"13,63,113,217",image_npc16,0,0,0,
156,38,1,5,npc_dlg,,pos_cityIn_5,你出身高贵，却是个街头混混，没有气质，让我没面子啊。去转个正当职业吧。,我要转职，我要有气质！,,,image_npc16,0,0,0,
157,38,2,5,op,,pos_cityIn_5,点这里，进入职业会所去“转职”。,,,,,492,324,2,CGameMapMgr
158,38,3,5,npc_dlg,go2careercenter,,这个职业会所啊，有不同的职业让你选择，你随意。,居然有阉派职业，好变态啊！,,,image_npc16,0,0,0,
159,38,4,5,npc_dlg,,,在我们明朝，太监是一个时髦的正当职业。\n伟大的郑和叔叔就是这个职业的。,高山仰止，晚生佩服。,,,image_npc16,0,0,0,
160,38,5,5,npc_dlg,,,当你转职成功后，这里会出现很多奇人异士。\n只要你有足够的金币，他们会愿意跟你哦！,哦？太好了，一会招几个助我一臂之力。,,,image_npc16,0,0,0,
161,38,6,5,op,,pos_career_5,点这里，返回城内。,,,,,591,447,3,CDlgProTransfer
162,38,7,5,op,go2cityin,,,,,,,0,0,0,
163,39,1,5,npc_dlg,,,前面有个PK中心，本城的很多人都聚集于此。\n去里面找人切磋可以获得战功。,经过这么久的磨练，我很强力了，去试试！,,,image_npc16,0,0,0,
164,39,2,5,op,,pos_cityIn_5,点这里，进入PK中心。,,,,,475,207,2,CGameMapMgr
165,39,3,5,npc_dlg,city_pvp_index,,找个和你等级相近的人试试看。,好，看我的！,,,image_npc16,0,0,0,
166,39,4,5,op,,pos_pkcenter_5,点这里，返回城内。,,,,,591,447,3,CDlgPKCenter
167,39,5,5,op,go2cityin,,,,,,,0,0,0,
168,40,1,5,npc_dlg,,pos_cityIn_5,看！通缉榜。据说这里有很多通缉犯的信息。\n如果缉捕他们成功的话，可以获得很多赏金（金币）哦。,哈哈，这不又是一个金币收入的途径？,,,image_npc16,0,0,0,
169,40,2,5,op,,pos_cityIn_5,点这里，去看通缉榜。,,,,,350,424,2,CGameMapMgr
170,40,3,5,npc_dlg,city_tongji_index,,这些通缉犯肯定被很多人追杀，想赚这个钱，必须尽快提升自己的实力。,这是当然，相信我，我会比其他人升得快。,,,image_npc16,0,0,0,
171,40,4,5,npc_dlg,,,如果你被人欺负或看谁不爽，也可以去通缉他，他一旦被缉捕，将被打入大牢。,哈哈，原来大牢是这个用处。,,,image_npc16,0,0,0,
172,40,5,5,op,,,点这里，可以发布通缉令。,,,,,510,177,1,CDlgTongjiling
173,40,6,5,op,city_tongji_send_bounty,,点这里，关闭发布通缉令。,,,,,600,80,1,CDlgAnouceTongji
174,40,7,5,op,help_WantedUserContent,,点这里，返回城内。,,,,,591,447,3,CDlgTongjiling
175,40,8,5,op,go2cityin,,,,,,,0,0,0,
176,41,1,5,npc_dlg,,,福州还有科举考场，你每天可以在这里考试。\n不断提升学位，还能领取学位俸禄（金币）。,考分决定出路，我懂！我一定努力考。,,,image_npc16,0,0,0,
177,41,2,5,op,,pos_cityIn_5,点这里，进入考场。,,,,,376,326,3,CGameMapMgr
178,41,3,5,op,city_exam_index,,点这里，返回城内。,,,,,591,447,3,CDlgExamMgr
179,41,4,5,op,go2cityin,,,,,,,0,0,0,
180,42,1,5,npc_dlg,,,看见考场和那些考官没有？\n他们身上是否很有股特别的文化韵味？,嗯，特别浓厚，好像大葱味道。,,,image_npc16,0,0,0,
181,42,2,5,npc_dlg,,,福州还有个特别的位置，合成店！\n这里可以合出很多蓝色品质的装备，能使你变得很厉害！,走，去看看我能合什么？,,,image_npc16,0,0,0,
182,42,3,5,op,,pos_cityIn_5,点这里，进入合成店。,,,,,324,334,2,CGameMapMgr
183,42,4,5,npc_dlg,city_craft_index,,后面的怪都很给力，我们要一人合出一套装备才行。\n刚才算命的不是给你了3个宝石吗？可以合一件试试。,恩，我试试。,,,image_npc16,0,0,0,
184,42,5,5,op,,,点这里，关闭界面。,,,,,600,80,1,CDlgCraftShop
185,42,6,5,op,help_CraftDialogContent,,,,,,,0,0,0,
186,43,1,5,npc_dlg,,,合装备还差很多材料，我们需要慢慢收集。,是啊，我们现在就要去找这些材料。,,,image_npc16,0,0,0,
187,43,2,5,npc_dlg,,,钻石在“过关通道”掉，水晶在“采集点”掉，玛瑙在“野怪中心”掉，福州城外好像就有，我们去看看。,好，快走！,,,image_npc16,0,0,0,
188,43,3,5,op,,pos_cityIn_5,点这里，出城。,,,,,431,156,0,CGameMapMgr
189,43,4,5,npc_dlg,go2out,,看，果然有野怪中心，这里除了掉落玛瑙，打怪还能得经验哦，还可以挂机呢。,有这么好？那赶紧去看看。,,,image_npc16,0,0,0,
190,43,5,5,op,,pos_cityOut_5,点这里，进入野怪中心。,,,,,411,412,3,CGameMapMgr
191,43,6,5,op,go2fieldmonster,pos_monster_5,点这里，攻击这个怪。,,,,,294,140,2,CGameMapMgr
192,43,7,5,op,city_monster_pk,,,,,,,0,0,0,
193,44,1,5,op,,pos_monster_5,点这里，返回城外。,,,,,-271,-111,3,CDlgShell:Button:btnReturn
194,44,2,5,npc_dlg,go2out,pos_cityOut_5,等等，你看，这还有个地方—隐藏地点。\n传说这是个神奇的地方，有很多精英怪、高品质宝物和奇人异士。,哇！我很有兴趣，快去看看？,,,image_npc16,0,0,0,
195,44,3,5,op,,pos_cityOut_5,点这里，进入隐藏地点。,,,,,287,392,2,CGameMapMgr
196,44,4,5,npc_dlg,go2hideplace,,这里有精英副本、风景、神秘合成店，但都很隐蔽。\n需要我们采集的时候才能发现，等我们发现了再来吧。,我要采集，我要发现隐藏地点！,,,image_npc16,0,0,0,
197,44,5,5,npc_dlg,,,别着急，这里的怪物都很厉害的，一般人都不是对手。咱们还是练练再来吧！,恩，得先去搞一套像样的装备才行。,,,image_npc16,0,0,0,
198,44,6,5,op,,,,,,,,0,0,0,
199,45,1,5,op,,,点这里，返回城外。,,,,,-271,-111,3,CDlgShell:Button:btnReturn
200,45,2,5,npc_dlg,go2out,pos_cityOut_5,好了，逛了这么久，福州也基本上熟悉了，我们动身去成都吧。别忘了我们的使命！,恩，开始闯关吧。,,,image_npc16,0,0,0,
201,45,3,5,op,,pos_cityOut_5,进入过关通道，打通才能去福州。,,,,,251,147,2,CGameMapMgr
202,45,4,5,op,city_dungeon_get_log,,,,,,,0,0,0,
203,46,1,1,op,ggee,jkljljlk,,,,,,0,0,0,
204,46,2,1,op,ggee,hlkhjkjhk,,,,,,0,0,0,
