unSid,unTimeAction,nX,nY,strAnitile,unScale,strSoundtile,unTime,nData
1007,0,0,0,0,100,,0,0
1011,0,-53,-112,r23_mag,100,,0,0
1012,0,0,0,0,100,,0,0
1100,0,-42,-90,r23_sta,100,,0,0
1102,0,-53,-90,r23_att,100,music/skill/m_atc.ogg,0,0
1103,0,0,0,0,100,,0,0
1104,0,-61,-90,r23_hur,100,music/skill/m_hit.ogg,0,0
1105,0,0,0,0,100,,0,0
1106,0,-131,-89,r23_die,100,music/skill/m_death.ogg,0,0
1107,0,0,0,0,100,,0,0
1111,0,-53,-112,r23_mag,100,,0,0
1112,0,0,0,0,100,,0,0
1200,0,-30,-96,r4_sta,100,,0,0
1202,0,-31,-98,r4_att,100,music/skill/m_atc.ogg,0,0
1203,0,0,0,0,100,,0,0
1204,0,-48,-96,r4_hur,100,music/skill/m_hit.ogg,0,0
1205,0,0,0,0,100,,0,0
1206,0,-100,-96,r4_die,100,music/skill/m_death.ogg,0,0
1207,0,0,0,0,100,,0,0
1211,0,-31,-96,r4_mag,100,,0,0
1212,0,0,0,0,100,,0,0
1300,0,-46,-93,r24_sta,100,,0,0
1302,0,-106,-116,r24_att,100,music/skill/m_atc.ogg,0,0
1303,0,0,0,0,100,,0,0
1304,0,-61,-94,r24_hur,100,music/skill/m_hit.ogg,0,0
1305,0,0,0,0,100,,0,0
1306,0,-144,-101,r24_die,100,music/skill/m_death.ogg,0,0
1307,0,0,0,0,100,,0,0
1311,0,-79,-106,r24_mag,100,,0,0
1312,0,0,0,0,100,,0,0
1400,0,-44,-99,r6_sta,100,,0,0
1402,0,-78,-102,r6_att,100,music/skill/m_atc.ogg,0,0
1403,0,0,0,0,100,,0,0
1404,0,-66,-100,r6_hur,100,music/skill/m_hit.ogg,0,0
1405,0,0,0,0,100,,0,0
1406,0,-119,-111,r6_die,100,music/skill/m_death.ogg,0,0
1407,0,0,0,0,100,,0,0
1411,0,-83,-102,r6_mag,100,,0,0
1412,0,0,0,0,100,,0,0
1500,0,-34,-94,r27_sta,100,,0,0
1502,0,-33,-99,r27_att,100,music/skill/m_atc.ogg,0,0
1503,0,0,0,0,100,,0,0
1504,0,-46,-95,r27_hur,100,music/skill/m_hit.ogg,0,0
1505,0,0,0,0,100,,0,0
1506,0,-127,-99,r27_die,100,music/skill/m_death.ogg,0,0
1507,0,0,0,0,100,,0,0
1511,0,-33,-94,r27_mag,100,,0,0
1512,0,0,0,0,100,,0,0
1600,0,-32,-96,r11_sta,100,,0,0
1602,0,-32,-96,r11_att,100,music/skill/m_atc.ogg,0,0
1603,0,0,0,0,100,,0,0
1604,0,-42,-95,r11_hur,100,music/skill/m_hit.ogg,0,0
1605,0,0,0,0,100,,0,0
1606,0,-98,-98,r11_die,100,music/skill/m_death.ogg,0,0
1607,0,0,0,0,100,,0,0
1611,0,-33,-96,r11_mag,100,,0,0
1612,0,0,0,0,100,,0,0
1700,0,-38,-85,r15_sta,100,,0,0
1702,0,-38,-85,r15_att,100,music/skill/m_atc.ogg,0,0
1703,0,0,0,0,100,,0,0
1704,0,-42,-85,r15_hur,100,music/skill/m_hit.ogg,0,0
1705,0,0,0,0,100,,0,0
1706,0,-119,-94,r15_die,100,music/skill/m_death.ogg,0,0
1707,0,0,0,0,100,,0,0
1711,0,-38,-91,r15_mag,100,,0,0
1712,0,0,0,0,100,,0,0
1800,0,-41,-94,r12_sta,100,,0,0
1802,0,-57,-94,r12_att,100,music/skill/m_atc.ogg,0,0
1803,0,0,0,0,100,,0,0
1804,0,-58,-94,r12_hur,100,music/skill/m_hit.ogg,0,0
1805,0,0,0,0,100,,0,0
1806,0,-103,-106,r12_die,100,music/skill/m_death.ogg,0,0
1807,0,0,0,0,100,,0,0
1811,0,-133,-99,r12_mag,100,,0,0
1812,0,0,0,0,100,,0,0
1900,0,-35,-80,r8_sta,100,,0,0
1902,0,-35,-87,r8_att,100,music/skill/m_atc.ogg,0,0
1903,0,0,0,0,100,,0,0
1904,0,-48,-80,r8_hur,100,music/skill/m_hit.ogg,0,0
1905,0,0,0,0,100,,0,0
1906,0,-105,-152,r8_die,100,music/skill/m_death.ogg,0,0
1907,0,0,0,0,100,,0,0
1911,0,-35,-87,r8_mag,100,,0,0
1912,0,0,0,0,100,,0,0
2000,0,-35,-80,r8_sta,100,,0,0
2002,0,-35,-87,r8_att,100,music/skill/m_atc.ogg,0,0
2003,0,0,0,0,100,,0,0
2004,0,-48,-80,r8_hur,100,music/skill/m_hit.ogg,0,0
2005,0,0,0,0,100,,0,0
2006,0,-105,-152,r8_die,100,music/skill/m_death.ogg,0,0
2007,0,0,0,0,100,,0,0
2011,0,-35,-87,r8_mag,100,,0,0
2012,0,0,0,0,100,,0,0
2100,0,-34,-90,r10_sta,100,,0,0
2102,0,-88,-129,r10_att,100,music/skill/m_atc.ogg,0,0
2103,0,0,0,0,100,,0,0
2104,0,-72,-91,r10_hur,100,music/skill/m_hit.ogg,0,0
2105,0,0,0,0,100,,0,0
2106,0,-110,-100,r10_die,100,music/skill/m_death.ogg,0,0
2107,0,0,0,0,100,,0,0
2111,0,-55,-141,r10_mag,100,,0,0
2112,0,0,0,0,100,,0,0
2200,0,-54,-90,r9_sta,100,,0,0
2202,0,-58,-132,r9_att,100,music/skill/m_atc.ogg,0,0
2203,0,0,0,0,100,,0,0
2204,0,-89,-90,r9_hur,100,music/skill/m_hit.ogg,0,0
2205,0,0,0,0,100,,0,0
2206,0,-110,-108,r9_die,100,music/skill/m_death.ogg,0,0
2207,0,0,0,0,100,,0,0
2211,0,-54,-91,r9_mag,100,,0,0
2212,0,0,0,0,100,,0,0
2300,0,-41,-57,y12_sta,100,,0,0
2302,0,-41,-75,y12_att,100,music/skill/m_atc.ogg,0,0
2303,0,0,0,0,100,,0,0
2304,0,-61,-70,y12_hur,100,music/skill/m_hit.ogg,0,0
2305,0,0,0,0,100,,0,0
2306,0,-122,-107,y12_die,100,music/skill/m_death.ogg,0,0
2307,0,0,0,0,100,,0,0
2311,0,-53,-67,y12_mag,100,,0,0
2312,0,0,0,0,100,,0,0
2400,0,-41,-57,y12_sta,100,,0,0
2402,0,-41,-75,y12_att,100,music/skill/m_atc.ogg,0,0
2403,0,0,0,0,100,,0,0
2404,0,-61,-70,y12_hur,100,music/skill/m_hit.ogg,0,0
2405,0,0,0,0,100,,0,0
2406,0,-122,-107,y12_die,100,music/skill/m_death.ogg,0,0
2407,0,0,0,0,100,,0,0
2411,0,-53,-67,y12_mag,100,,0,0
2412,0,0,0,0,100,,0,0
2500,0,-31,-92,r7_sta,100,,0,0
2502,0,-30,-92,r7_att,100,music/skill/m_atc.ogg,0,0
2503,0,0,0,0,100,,0,0
2504,0,-38,-92,r7_hur,100,music/skill/m_hit.ogg,0,0
2505,0,0,0,0,100,,0,0
2506,0,-112,-97,r7_die,100,music/skill/m_death.ogg,0,0
2507,0,0,0,0,100,,0,0
2511,0,-29,-92,r7_mag,100,,0,0
2512,0,0,0,0,100,,0,0
2600,0,-31,-92,r7_sta,100,,0,0
2602,0,-30,-92,r7_att,100,music/skill/m_atc.ogg,0,0
2603,0,0,0,0,100,,0,0
2604,0,-38,-92,r7_hur,100,music/skill/m_hit.ogg,0,0
2605,0,0,0,0,100,,0,0
2606,0,-112,-97,r7_die,100,music/skill/m_death.ogg,0,0
2607,0,0,0,0,100,,0,0
2611,0,-29,-92,r7_mag,100,,0,0
2612,0,0,0,0,100,,0,0
2700,0,-30,-96,r4_sta,100,,0,0
2702,0,-31,-98,r4_att,100,music/skill/m_atc.ogg,0,0
2703,0,0,0,0,100,,0,0
2704,0,-48,-96,r4_hur,100,music/skill/m_hit.ogg,0,0
2705,0,0,0,0,100,,0,0
2706,0,-100,-96,r4_die,100,music/skill/m_death.ogg,0,0
2707,0,0,0,0,100,,0,0
2711,0,-31,-96,r4_mag,100,,0,0
2712,0,0,0,0,100,,0,0
2800,0,-28,-97,r32_sta,100,,0,0
2802,0,-37,-97,r32_att,100,music/skill/m_atc.ogg,0,0
2803,0,0,0,0,100,,0,0
2804,0,-54,-98,r32_hur,100,music/skill/m_hit.ogg,0,0
2805,0,0,0,0,100,,0,0
2806,0,-129,-104,r32_die,100,music/skill/m_death.ogg,0,0
2807,0,0,0,0,100,,0,0
2811,0,-84,-107,r32_mag,100,,0,0
2812,0,0,0,0,100,,0,0
2900,0,-29,-85,yg2_sta,100,,0,0
2902,0,-31,-86,yg2_att,100,music/skill/m_atc.ogg,0,0
2903,0,0,0,0,100,,0,0
2904,0,-47,-88,yg2_hur,100,music/skill/m_hit.ogg,0,0
2905,0,0,0,0,100,,0,0
2906,0,-130,-102,yg2_die,100,music/skill/m_death.ogg,0,0
2907,0,0,0,0,100,,0,0
2911,0,-31,-86,yg2_mag,100,,0,0
2912,0,0,0,0,100,,0,0
3000,0,-29,-85,yg2_sta,100,,0,0
3002,0,-31,-86,yg2_att,100,music/skill/m_atc.ogg,0,0
3003,0,0,0,0,100,,0,0
3004,0,-47,-88,yg2_hur,100,music/skill/m_hit.ogg,0,0
3005,0,0,0,0,100,,0,0
3006,0,-130,-102,yg2_die,100,music/skill/m_death.ogg,0,0
3007,0,0,0,0,100,,0,0
3011,0,-31,-86,yg2_mag,100,,0,0
3012,0,0,0,0,100,,0,0
3100,0,-29,-85,yg2_sta,100,,0,0
3102,0,-31,-86,yg2_att,100,music/skill/m_atc.ogg,0,0
3103,0,0,0,0,100,,0,0
3104,0,-47,-88,yg2_hur,100,music/skill/m_hit.ogg,0,0
3105,0,0,0,0,100,,0,0
3106,0,-130,-102,yg2_die,100,music/skill/m_death.ogg,0,0
3107,0,0,0,0,100,,0,0
3111,0,-31,-86,yg2_mag,100,,0,0
3112,0,0,0,0,100,,0,0
3200,0,-29,-85,yg2_sta,100,,0,0
3202,0,-31,-86,yg2_att,100,music/skill/m_atc.ogg,0,0
3203,0,0,0,0,100,,0,0
3204,0,-47,-88,yg2_hur,100,music/skill/m_hit.ogg,0,0
3205,0,0,0,0,100,,0,0
3206,0,-130,-102,yg2_die,100,music/skill/m_death.ogg,0,0
3207,0,0,0,0,100,,0,0
3211,0,-31,-86,yg2_mag,100,,0,0
3212,0,0,0,0,100,,0,0
3300,0,-29,-85,yg2_sta,100,,0,0
3302,0,-31,-86,yg2_att,100,music/skill/m_atc.ogg,0,0
3303,0,0,0,0,100,,0,0
3304,0,-47,-88,yg2_hur,100,music/skill/m_hit.ogg,0,0
3305,0,0,0,0,100,,0,0
3306,0,-130,-102,yg2_die,100,music/skill/m_death.ogg,0,0
3307,0,0,0,0,100,,0,0
3311,0,-31,-86,yg2_mag,100,,0,0
3312,0,0,0,0,100,,0,0
3400,0,-29,-85,yg2_sta,100,,0,0
3402,0,-31,-86,yg2_att,100,music/skill/m_atc.ogg,0,0
3403,0,0,0,0,100,,0,0
3404,0,-47,-88,yg2_hur,100,music/skill/m_hit.ogg,0,0
3405,0,0,0,0,100,,0,0
3406,0,-130,-102,yg2_die,100,music/skill/m_death.ogg,0,0
3407,0,0,0,0,100,,0,0
3411,0,-31,-86,yg2_mag,100,,0,0
3412,0,0,0,0,100,,0,0
3500,0,-57,-146,b2_sta,100,,0,0
3502,0,-57,-146,b2_att,100,music/skill/m_atc.ogg,0,0
3503,0,0,0,0,100,,0,0
3504,0,-87,-154,b2_hur,100,music/skill/m_hit.ogg,0,0
3505,0,0,0,0,100,,0,0
3506,0,-167,-178,b2_die,100,music/skill/m_death.ogg,0,0
3507,0,0,0,0,100,,0,0
3511,0,-57,-147,b2_mag,100,,0,0
3512,0,0,0,0,100,,0,0
3600,0,-41,-92,s23_sta,100,,0,0
3602,0,-31,-107,s23_att,100,music/skill/m_atc.ogg,0,0
3603,0,0,0,0,100,,0,0
3604,0,-53,-92,s23_hur,100,music/skill/m_hit.ogg,0,0
3605,0,0,0,0,100,,0,0
3606,0,-148,-120,s23_die,100,music/skill/m_death.ogg,0,0
3607,0,0,0,0,100,,0,0
3611,0,-31,-107,s23_mag,100,,0,0
3612,0,0,0,0,100,,0,0
3700,0,-40,-90,c4_sta,100,,0,0
3702,0,-39,-87,c4_att,100,music/skill/m_atc.ogg,0,0
3703,0,0,0,0,100,,0,0
3704,0,-47,-87,c4_hur,100,music/skill/m_hit.ogg,0,0
3705,0,0,0,0,100,,0,0
3706,0,-54,-87,c4_die,100,music/skill/m_death.ogg,0,0
3707,0,0,0,0,100,,0,0
3711,0,-38,-87,c4_mag,100,,0,0
3712,0,0,0,0,100,,0,0
3800,0,-40,-90,c4_sta,100,,0,0
3802,0,-39,-87,c4_att,100,music/skill/m_atc.ogg,0,0
3803,0,0,0,0,100,,0,0
3804,0,-47,-87,c4_hur,100,music/skill/m_hit.ogg,0,0
3805,0,0,0,0,100,,0,0
3806,0,-54,-87,c4_die,100,music/skill/m_death.ogg,0,0
3807,0,0,0,0,100,,0,0
3811,0,-38,-87,c4_mag,100,,0,0
3812,0,0,0,0,100,,0,0
3900,0,-40,-90,c4_sta,100,,0,0
3902,0,-39,-87,c4_att,100,music/skill/m_atc.ogg,0,0
3903,0,0,0,0,100,,0,0
3904,0,-47,-87,c4_hur,100,music/skill/m_hit.ogg,0,0
3905,0,0,0,0,100,,0,0
3906,0,-54,-87,c4_die,100,music/skill/m_death.ogg,0,0
3907,0,0,0,0,100,,0,0
3911,0,-38,-87,c4_mag,100,,0,0
3912,0,0,0,0,100,,0,0
4000,0,-40,-90,c4_sta,100,,0,0
4002,0,-39,-87,c4_att,100,music/skill/m_atc.ogg,0,0
4003,0,0,0,0,100,,0,0
4004,0,-47,-87,c4_hur,100,music/skill/m_hit.ogg,0,0
4005,0,0,0,0,100,,0,0
4006,0,-54,-87,c4_die,100,music/skill/m_death.ogg,0,0
4007,0,0,0,0,100,,0,0
4011,0,-38,-87,c4_mag,100,,0,0
4012,0,0,0,0,100,,0,0
4100,0,-40,-90,c4_sta,100,,0,0
4102,0,-39,-87,c4_att,100,music/skill/m_atc.ogg,0,0
4103,0,0,0,0,100,,0,0
4104,0,-47,-87,c4_hur,100,music/skill/m_hit.ogg,0,0
4105,0,0,0,0,100,,0,0
4106,0,-54,-87,c4_die,100,music/skill/m_death.ogg,0,0
4107,0,0,0,0,100,,0,0
4111,0,-38,-87,c4_mag,100,,0,0
4112,0,0,0,0,100,,0,0
4200,0,-40,-90,c4_sta,100,,0,0
4202,0,-39,-87,c4_att,100,music/skill/m_atc.ogg,0,0
4203,0,0,0,0,100,,0,0
4204,0,-47,-87,c4_hur,100,music/skill/m_hit.ogg,0,0
4205,0,0,0,0,100,,0,0
4206,0,-54,-87,c4_die,100,music/skill/m_death.ogg,0,0
4207,0,0,0,0,100,,0,0
4211,0,-38,-87,c4_mag,100,,0,0
4212,0,0,0,0,100,,0,0
4300,0,-44,-59,c14_sta,100,,0,0
4302,0,-43,-106,c14_att,100,music/skill/m_atc.ogg,0,0
4303,0,0,0,0,100,,0,0
4304,0,-64,-72,c14_hur,100,music/skill/m_hit.ogg,0,0
4305,0,0,0,0,100,,0,0
4306,0,-145,-85,c14_die,100,music/skill/m_death.ogg,0,0
4307,0,0,0,0,100,,0,0
4311,0,-43,-97,c14_mag,100,,0,0
4312,0,0,0,0,100,,0,0
4400,0,-44,-59,c14_sta,100,,0,0
4402,0,-43,-106,c14_att,100,music/skill/m_atc.ogg,0,0
4403,0,0,0,0,100,,0,0
4404,0,-64,-72,c14_hur,100,music/skill/m_hit.ogg,0,0
4405,0,0,0,0,100,,0,0
4406,0,-145,-85,c14_die,100,music/skill/m_death.ogg,0,0
4407,0,0,0,0,100,,0,0
4411,0,-43,-97,c14_mag,100,,0,0
4412,0,0,0,0,100,,0,0
4500,0,-42,-124,c15_sta,100,,0,0
4502,0,-75,-184,c15_att,100,music/skill/m_atc.ogg,0,0
4503,0,0,0,0,100,,0,0
4504,0,-58,-124,c15_hur,100,music/skill/m_hit.ogg,0,0
4505,0,0,0,0,100,,0,0
4506,0,-166,-124,c15_die,100,music/skill/m_death.ogg,0,0
4507,0,0,0,0,100,,0,0
4511,0,-40,-124,c15_mag,100,,0,0
4512,0,0,0,0,100,,0,0
4600,0,-42,-124,c15_sta,100,,0,0
4602,0,-75,-184,c15_att,100,music/skill/m_atc.ogg,0,0
4603,0,0,0,0,100,,0,0
4604,0,-58,-124,c15_hur,100,music/skill/m_hit.ogg,0,0
4605,0,0,0,0,100,,0,0
4606,0,-166,-124,c15_die,100,music/skill/m_death.ogg,0,0
4607,0,0,0,0,100,,0,0
4611,0,-40,-124,c15_mag,100,,0,0
4612,0,0,0,0,100,,0,0
4700,0,-57,-73,s4_sta,100,,0,0
4702,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
4703,0,0,0,0,100,,0,0
4704,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
4705,0,0,0,0,100,,0,0
4706,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
4707,0,0,0,0,100,,0,0
4711,0,-57,-93,s4_mag,100,,0,0
4712,0,0,0,0,100,,0,0
4800,0,-57,-73,s4_sta,100,,0,0
4802,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
4803,0,0,0,0,100,,0,0
4804,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
4805,0,0,0,0,100,,0,0
4806,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
4807,0,0,0,0,100,,0,0
4811,0,-57,-93,s4_mag,100,,0,0
4812,0,0,0,0,100,,0,0
4900,0,-57,-73,s4_sta,100,,0,0
4902,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
4903,0,0,0,0,100,,0,0
4904,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
4905,0,0,0,0,100,,0,0
4906,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
4907,0,0,0,0,100,,0,0
4911,0,-57,-93,s4_mag,100,,0,0
4912,0,0,0,0,100,,0,0
5000,0,-57,-73,s4_sta,100,,0,0
5002,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5003,0,0,0,0,100,,0,0
5004,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5005,0,0,0,0,100,,0,0
5006,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5007,0,0,0,0,100,,0,0
5011,0,-57,-93,s4_mag,100,,0,0
5012,0,0,0,0,100,,0,0
5100,0,-57,-73,s4_sta,100,,0,0
5102,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5103,0,0,0,0,100,,0,0
5104,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5105,0,0,0,0,100,,0,0
5106,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5107,0,0,0,0,100,,0,0
5111,0,-57,-93,s4_mag,100,,0,0
5112,0,0,0,0,100,,0,0
5200,0,-57,-73,s4_sta,100,,0,0
5202,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5203,0,0,0,0,100,,0,0
5204,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5205,0,0,0,0,100,,0,0
5206,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5207,0,0,0,0,100,,0,0
5211,0,-57,-93,s4_mag,100,,0,0
5212,0,0,0,0,100,,0,0
5300,0,-57,-73,s4_sta,100,,0,0
5302,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5303,0,0,0,0,100,,0,0
5304,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5305,0,0,0,0,100,,0,0
5306,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5307,0,0,0,0,100,,0,0
5311,0,-57,-93,s4_mag,100,,0,0
5312,0,0,0,0,100,,0,0
5400,0,-57,-73,s4_sta,100,,0,0
5402,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5403,0,0,0,0,100,,0,0
5404,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5405,0,0,0,0,100,,0,0
5406,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5407,0,0,0,0,100,,0,0
5411,0,-57,-93,s4_mag,100,,0,0
5412,0,0,0,0,100,,0,0
5500,0,-57,-73,s4_sta,100,,0,0
5502,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5503,0,0,0,0,100,,0,0
5504,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5505,0,0,0,0,100,,0,0
5506,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5507,0,0,0,0,100,,0,0
5511,0,-57,-93,s4_mag,100,,0,0
5512,0,0,0,0,100,,0,0
5600,0,-57,-73,s4_sta,100,,0,0
5602,0,-57,-77,s4_att,100,music/skill/m_atc.ogg,0,0
5603,0,0,0,0,100,,0,0
5604,0,-88,-74,s4_hur,100,music/skill/m_hit.ogg,0,0
5605,0,0,0,0,100,,0,0
5606,0,-161,-95,s4_die,100,music/skill/m_death.ogg,0,0
5607,0,0,0,0,100,,0,0
5611,0,-57,-93,s4_mag,100,,0,0
5612,0,0,0,0,100,,0,0
5700,0,-52,-152,b3_sta,100,,0,0
5702,0,-137,-230,b3_att,100,music/skill/m_atc.ogg,0,0
5703,0,0,0,0,100,,0,0
5704,0,-55,-152,b3_hur,100,music/skill/m_hit.ogg,0,0
5705,0,0,0,0,100,,0,0
5706,0,-162,-183,b3_die,100,music/skill/m_death.ogg,0,0
5707,0,0,0,0,100,,0,0
5711,0,-49,-152,b3_mag,100,,0,0
5712,0,0,0,0,100,,0,0
5800,0,-41,-92,s23_sta,100,,0,0
5802,0,-31,-107,s23_att,100,music/skill/m_atc.ogg,0,0
5803,0,0,0,0,100,,0,0
5804,0,-53,-92,s23_hur,100,music/skill/m_hit.ogg,0,0
5805,0,0,0,0,100,,0,0
5806,0,-148,-120,s23_die,100,music/skill/m_death.ogg,0,0
5807,0,0,0,0,100,,0,0
5811,0,-31,-107,s23_mag,100,,0,0
5812,0,0,0,0,100,,0,0
5900,0,-28,-80,r28_sta,100,,0,0
5902,0,-49,-82,r28_att,100,music/skill/m_atc.ogg,0,0
5903,0,0,0,0,100,,0,0
5904,0,-33,-81,r28_hur,100,music/skill/m_hit.ogg,0,0
5905,0,0,0,0,100,,0,0
5906,0,-96,-86,r28_die,100,music/skill/m_death.ogg,0,0
5907,0,0,0,0,100,,0,0
5911,0,-28,-88,r28_mag,100,,0,0
5912,0,0,0,0,100,,0,0
6000,0,-28,-80,r28_sta,100,,0,0
6002,0,-49,-82,r28_att,100,music/skill/m_atc.ogg,0,0
6003,0,0,0,0,100,,0,0
6004,0,-33,-81,r28_hur,100,music/skill/m_hit.ogg,0,0
6005,0,0,0,0,100,,0,0
6006,0,-96,-86,r28_die,100,music/skill/m_death.ogg,0,0
6007,0,0,0,0,100,,0,0
6011,0,-28,-88,r28_mag,100,,0,0
6012,0,0,0,0,100,,0,0
6100,0,-28,-80,r28_sta,100,,0,0
6102,0,-49,-82,r28_att,100,music/skill/m_atc.ogg,0,0
6103,0,0,0,0,100,,0,0
6104,0,-33,-81,r28_hur,100,music/skill/m_hit.ogg,0,0
6105,0,0,0,0,100,,0,0
6106,0,-96,-86,r28_die,100,music/skill/m_death.ogg,0,0
6107,0,0,0,0,100,,0,0
6111,0,-28,-88,r28_mag,100,,0,0
6112,0,0,0,0,100,,0,0
6200,0,-37,-91,r25_sta,100,,0,0
6202,0,-37,-92,r25_att,100,music/skill/m_atc.ogg,0,0
